Ticker,Fiscal_Year,Annual_Dividend,Dividend_Type,Data_Source,Last_Update
9432,2020,95,Ordinary,IRBank,2026/2/28
9432,2021,105,Ordinary,IRBank,2026/2/28
9432,2022,120,Ordinary,IRBank,2026/2/28
9432,2023,5.1,Ordinary,IRBank,2026/2/28
9432,2024,5.2,Ordinary,IRBank,2026/2/28
9433,2020,57.5,Ordinary,IRBank,2026/2/28
9433,2021,60,Ordinary,IRBank,2026/2/28
9433,2022,62.5,Ordinary,IRBank,2026/2/28
9433,2023,67.5,Ordinary,IRBank,2026/2/28
9433,2024,70,Ordinary,IRBank,2026/2/28
8593,2020,25,Ordinary,IRBank,2026/2/28
8593,2021,25.5,Ordinary,IRBank,2026/2/28
8593,2022,28,Ordinary,IRBank,2026/2/28
8593,2023,33,Ordinary,IRBank,2026/2/28
8593,2024,37,Ordinary,IRBank,2026/2/28
8001,2020,17,Ordinary,IRBank,2026/2/28
8001,2021,17.6,Ordinary,IRBank,2026/2/28
8001,2022,22,Ordinary,IRBank,2026/2/28
8001,2023,28,Ordinary,IRBank,2026/2/28
8001,2024,32,Ordinary,IRBank,2026/2/28
8591,2020,76,Ordinary,IRBank,2026/2/28
8591,2021,78,Ordinary,IRBank,2026/2/28
8591,2022,85.6,Ordinary,IRBank,2026/2/28
8591,2023,85.6,Ordinary,IRBank,2026/2/28
8591,2024,98.6,Ordinary,IRBank,2026/2/28
